DD2[][0],DD2[][1],DD2[][2],DD2[][3],DD2[][4],DD2[][5],DD2[][6],DD2[][7],DD2[][8],DD2[][9],DD2[][10],DD2[][11],DD2[][12],DD2[][13],DD2[][14],DD2[][15],DD2[][16],DD2[][17],DD2[][18],DD2[][19],DD2[][20],DD2[][21],DD2[][22],DD2[][23],DD2[][24],DD2[][25],DD2[][26],DD2[][27],DD2[][28],DD2[][29],DD2[][30],DD2[][31],DD2[][32],DD2[][33],DD2[][34],DD2[][35],DD2[][36],DD2[][37],DD2[][38],DD2[][39],DD2[][40],DD2[][41],DD2[][42],DD2[][43],DD2[][44],DD2[][45],DD2[][46],DD2[][47],DD2[][48],DD2[][49]
0.615446,0.773029,0.61833,0.0119763,1.36777,1.23663,0.807626,0.977682,0.835354,1.34476,1.61523,0.497386,1.12702,0.804196,0.747755,0.965,0.575095,0.886082,0.654005,0.71238,0.593106,0.304693,0.727069,0.584878,0.169507,0.603392,0.752356,0.877491,0.525578,0.223501,0.14673,0.338699,0.173626,0.719219,0.270175,0.246892,0.162887,0.521138,0.885787,0.674157,0.604184,1.13,0.874506,0.20123,1.3432,1.40841,1.15861,0.0134328,-0.0416082,-0.0369301
0.40207,0.759027,0.630885,0.223054,1.31302,1.25206,0.672444,0.971482,0.849394,1.18928,1.47806,0.666013,1.42897,1.00699,0.866939,0.792,0.865019,0.887,0.578032,0.815789,0.521648,0.273629,0.653244,0.717569,0.150568,0.578604,0.829477,0.902583,0.457603,0.0616269,0.110048,0.276417,0.132601,0.539039,0.280702,0.298401,0.161856,0.482706,0.900169,0.692002,0.645607,1.17909,1.01779,0.099297,1.31625,1.35696,1.18301,0.0626866,-0.00281152,0.0134642
0.369427,0.641857,0.506591,0.260479,1.25342,1.15021,0.7487,0.779293,0.817486,1.08981,1.16036,0.954902,1.4234,1.00932,0.881633,0.699,0.990494,1.07993,0.670481,0.730541,0.384615,0.26041,0.545861,0.793921,0.128788,0.488584,0.916881,0.869373,0.385424,0.0443713,0.1563,0.197341,0.154579,0.38964,0.149474,0.329781,0.241753,0.498847,0.814721,0.647719,0.579498,1.06273,1.18083,0.0878735,1.2272,1.38839,1.14876,0.192537,0.0421704,0.0348144
0.342356,0.456153,0.553045,0.151198,0.992053,1.07613,1.10052,0.985121,1.0217,0.887977,0.939486,1.13922,1.50474,1.32634,0.854694,0.782,0.941064,1.19752,0.58627,0.637139,0.279529,0.27429,0.353468,0.875463,0.133523,0.356817,0.755784,0.866421,0.25438,0.0682004,0.244816,0.10007,0.254945,0.0960962,0.0821051,0.339254,0.193299,0.534204,0.585448,0.66887,0.481172,0.866363,1.04941,0.204745,1.22383,1.41782,1.19662,0.192537,0.0421704,0.0603962
0.249204,0.417833,0.455116,0.218563,0.907726,0.891975,1.21144,1.14383,1.15826,1.00193,0.713565,1.14314,1.37772,1.41259,0.819592,0.862,0.881179,1.27285,0.646682,0.653076,0.205548,0.233972,0.302013,0.733136,0.232007,0.302675,0.595544,0.821402,0.148563,0.184059,0.373206,0.0685795,0.357509,0.124625,0.143158,0.427472,0.207216,0.45734,0.569374,0.66953,0.358159,0.700454,0.875494,0.246925,1.25969,1.38539,1.31769,0.0813433,-0.00590385,0.0692441
0.126592,0.402358,0.378531,0.248503,0.846358,0.803498,1.2357,1.06572,1.11997,1.02897,0.68936,0.942484,1.2429,1.22261,0.692245,0.95,0.770912,1.09646,0.599085,0.664937,0.0928961,0.265036,0.224459,0.498888,0.289773,0.466406,0.514139,0.808118,0.234057,0.216105,0.235247,0.128062,0.320879,0.341592,0.226667,0.391356,0.138144,0.500384,0.441624,0.547257,0.400837,0.695,0.51581,0.434095,1.17882,1.2971,1.32567,-0.0343283,-0.0267078,0.0448164
0.0565286,0.336035,0.38983,0.23503,0.842826,0.735597,0.974003,0.811531,1.0217,0.902463,0.464448,0.93464,1.22841,0.951049,0.462041,0.798,0.685361,1.02664,0.585355,0.688658,0.100883,0.245208,0.295302,0.595256,0.189394,0.562296,0.473008,0.715129,0.361598,0.251438,0.20016,0.23303,0.312088,0.406156,0.327719,0.3209,0.146392,0.366641,0.395093,0.409121,0.399163,0.657273,0.250988,0.321617,1.1485,1.12372,1.17363,0.0425372,-0.0230531,0.016734
0.035828,0.131909,0.250471,0.320359,0.838852,0.567901,0.674177,0.66274,0.804722,0.801062,0.396874,0.820915,1.14708,0.734266,0.413061,0.61,0.680608,0.83831,0.533181,0.759822,0.194199,0.288169,0.247576,0.66642,0.0984847,0.626223,0.605827,0.645019,0.4548,0.179129,0.149123,0.240728,0.229304,0.475976,0.401404,0.275903,0.020103,0.268255,0.294416,0.35228,0.446862,0.630454,0.365613,0.27065,1.08664,0.881081,0.924918,0.104478,-0.0281136,0.0275053
-0.000796382,0.138541,0.126177,0.251497,0.644592,0.445473,0.533796,0.404836,0.670708,0.529696,0.394856,0.610458,0.942061,0.477856,0.346123,0.453,0.392586,0.75379,0.42151,0.723499,0.269441,0.283543,0.351976,0.593032,0.127841,0.626223,0.698372,0.437638,0.428872,0.288414,0.15311,0.219734,0.180952,0.421922,0.279298,0.219065,0.034536,0.132206,0.211506,0.19762,0.366527,0.440455,0.475297,0.139719,1.06835,0.727928,0.623182,0.0567165,-0.0281136,-0.00750137
-0.0716561,0.197495,0.198996,0.191617,0.396909,0.53395,0.629116,0.380037,0.521378,0.322067,0.298033,0.39085,0.858496,0.553613,0.350204,0.393,0.222433,0.589343,0.200915,0.59785,0.275746,0.332452,0.230425,0.607116,0.229167,0.593607,0.633248,0.289299,0.26349,0.292523,0.179426,0.146256,0.161172,0.197448,0.16,0.147425,0.0432989,0.148348,0.112521,0.19035,0.284937,0.315,0.458498,0.0746925,1.0657,0.621421,0.464101,0.0365672,-0.0545404,0.00192348
