DD1[][0],DD1[][1],DD1[][2],DD1[][3],DD1[][4],DD1[][5],DD1[][6],DD1[][7],DD1[][8],DD1[][9],DD1[][10],DD1[][11],DD1[][12],DD1[][13],DD1[][14],DD1[][15],DD1[][16],DD1[][17],DD1[][18],DD1[][19],DD1[][20],DD1[][21],DD1[][22],DD1[][23],DD1[][24],DD1[][25],DD1[][26],DD1[][27],DD1[][28],DD1[][29],DD1[][30],DD1[][31],DD1[][32],DD1[][33],DD1[][34],DD1[][35],DD1[][36],DD1[][37],DD1[][38],DD1[][39],DD1[][40],DD1[][41],DD1[][42],DD1[][43],DD1[][44],DD1[][45],DD1[][46],DD1[][47],DD1[][48],DD1[][49]
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.218202,-0.151456,0.222089,-0.373004,-0.0800186,0.0874752,-0.0399304,0.0136501,0.135831,0.00143468,0.0319248,-0.0496183,-0.250316,0.0780277,-0.0907011,0.162887,0.101797,-0.159473,-0.0589438,0.0893162,0.00419368,-0.0405555,0.110488,0.0224571,-0.0877469,-0.236384,0.0558615,0.112928,0.0637394,0.00200269,-0.0322137,0.0177553,0.0822785,-0.216769,0.0267753,0.126744,0.132401,0.221865,-0.0383111,0.104833,-0.0238206,-0.0617283,0.0557655,-0.078517,0.153319,0.0468986,0.091243,0.334786,-0.125618,0.0119749
-0.256248,-0.159961,0.268908,-0.338171,-0.0407031,0.106362,0.0729166,0.100297,0.0761123,0.0894308,-0.00751184,-0.0356234,-0.23957,-0.0320728,-0.141768,0.162887,0.0633021,-0.0204828,0.00170353,0.11989,0.0274494,0.0327779,0.0872699,0.0105682,-0.0158103,-0.200436,0.025177,0.0249222,0.114731,-0.010681,-0.0383824,0.0247305,0.0253165,-0.159509,0.0745051,0.127326,0.101166,0.161415,-0.0828772,0.0844112,-0.0149463,-0.106173,0.185255,-0.0763359,0.160695,0.0557597,0.0975354,0.32825,-0.102731,0.0186072
-0.256994,-0.148839,0.144058,-0.0478955,-0.0744681,0.0785289,0.149306,0.2273,0.118267,0.0329985,0.0553989,-0.053435,-0.152971,-0.135472,-0.154726,0.0746394,0.132592,-0.0907095,-0.0105622,0.0790105,0.0914982,0.0555555,0.0568455,-0.0264201,0.0118577,-0.0991287,-0.0188828,0.0397197,0.135977,0.00600806,-0.0630567,-0.0158529,0.0719217,-0.0804363,0.089639,0.0354653,0.141259,0.195499,-0.0414385,0.0837305,-0.0149463,-0.103704,0.217391,-0.0916031,0.0492625,0.0367407,0.00209761,0.119826,-0.0501951,0.0241341
-0.213726,-0.0886489,0.0780312,0.272859,-0.072618,0.100398,0.0399306,0.228487,0.0948477,-0.0234338,0.13615,-0.0279899,-0.0891275,-0.169938,-0.0457316,0.0812372,0.225834,-0.0541331,-0.0691653,0.0384746,0.0655737,0.0866667,-0.0352281,-0.0079259,0.0411067,-0.00381276,0.0204564,-0.0225856,0.122521,0.0367157,-0.0993831,0.0221941,0.112773,-0.105658,0.0739232,0.0197674,0.0759907,0.216077,0.0852228,0.0742001,0.0765996,0.0172839,0.178639,-0.10687,0.0903583,0.148909,0.198742,-0.047204,-0.0827047,0.0263449
-0.130175,-0.080144,0.145258,0.510885,0.081406,0.0596421,0.0798611,0.364985,0.100703,0.374462,0.160563,0.0298982,0.0379267,0.00909525,0.162348,0.209072,0.278015,-0.0219458,-0.026235,0.036757,0.089592,0.0316667,-0.0304244,-0.125495,0.125692,0.0620914,-0.0472069,-0.071651,0.122521,0.0580774,-0.150788,0.0323399,0.0834292,-0.102249,0.0296857,0.0209303,0.0447552,0.21865,0.119625,-0.0551395,-0.00747317,0.104198,0.314745,-0.0229008,0.172287,0.353577,0.532774,-0.0595497,-0.0598179,0.0178704
-0.0220068,-0.0068695,0.55102,0.483309,0.396392,0.270378,0.293403,0.470623,0.330211,0.968436,0.422535,0.125954,0.226296,0.206319,0.313262,0.343505,0.208725,0.00950987,-0.0473595,0.0766059,0.0998856,-0.0383333,-0.0144115,-0.150594,0.15415,0.0359476,-0.0306845,-0.0957944,0.0998583,0.0307076,-0.180946,0.0462905,0.029344,-0.110429,-0.0139697,0.118605,-0.0177156,0.12283,0.114152,-0.0224643,0.127043,0.307161,0.50189,0.167939,0.279241,0.629133,0.994756,-0.0733478,-0.0161247,0.0414517
0.198061,0.179588,0.903961,0.460087,0.815449,0.503976,0.529514,0.687834,0.469555,1.57389,0.738967,0.179389,0.525917,0.480134,0.502287,0.422681,0.392643,-0.0153622,0.0930155,0.0917211,0.105223,-0.04,0.0760609,-0.0997358,0.0948616,-0.0397605,-0.0393391,0.0272585,0.0977336,0.00267032,-0.0452364,0.0982879,0.044879,-0.0892979,0.000582192,0.137209,0.0657344,0.066881,0.144644,0.0810075,0.255021,0.645432,0.854442,0.306434,0.321128,1.03761,1.40535,-0.120552,-0.0512353,0.0246868
0.230884,0.30651,1.11285,0.316401,1.17391,0.852883,0.859375,0.921662,0.694379,2.13917,0.910798,0.389313,0.845765,0.529919,0.643293,0.693196,0.418306,0.160936,0.302896,0.0879422,0.025162,0.0305555,0.227382,-0.0891677,0.0648222,-0.0294119,-0.0102281,0.0833332,0.0899433,0.00734312,0.0849898,0.105897,0.0995397,0.00477159,0.0878929,0.149419,0.132867,0.0186495,0.104769,0.124575,0.522186,0.848395,1.39887,0.393675,0.448894,1.40588,1.70949,0.020334,0.000780317,0.0149226
0.292055,0.385018,1.20888,0.416546,1.3358,1.10736,1.14062,1.01306,0.868852,2.11526,1.19249,0.763359,1.04678,0.65438,0.688262,0.886186,0.512404,0.203365,0.524361,0.0786671,0.042318,0.0722222,0.315452,-0.0224571,0.0213439,0.0381262,-0.0259639,0.202492,0.0871104,0.0126836,0.163811,0.0355105,0.0759493,0.0224949,0.119325,0.151163,0.133333,0.0437298,0.096169,0.149081,0.695469,0.999012,1.61909,0.517993,0.739463,1.53469,1.60252,0.0660858,-0.000520146,-0.0180545
