PD1[][0],PD1[][1],PD1[][2],PD1[][3],PD1[][4],PD1[][5],PD1[][6],PD1[][7],PD1[][8],PD1[][9],PD1[][10],PD1[][11],PD1[][12],PD1[][13],PD1[][14],PD1[][15],PD1[][16],PD1[][17],PD1[][18],PD1[][19],PD1[][20],PD1[][21],PD1[][22],PD1[][23],PD1[][24],PD1[][25],PD1[][26],PD1[][27],PD1[][28],PD1[][29],PD1[][30],PD1[][31],PD1[][32],PD1[][33],PD1[][34],PD1[][35],PD1[][36],PD1[][37],PD1[][38],PD1[][39],PD1[][40],PD1[][41],PD1[][42],PD1[][43],PD1[][44],PD1[][45],PD1[][46],PD1[][47],PD1[][48],PD1[][49]
0.045238,0.579832,1.17065,1.17021,0.798261,1.12703,0.95881,0.834008,1.14162,0.352564,0.833565,0.301676,0.384615,0.3,0.510455,0.965587,0.897802,0.717464,1.613,0.953333,0.72043,1.39782,0.709284,0.408511,0.932122,1.21787,0.713306,0.454438,0.883792,0.830509,0.632801,0.58047,0.7125,0.862981,1.06364,0.338828,0.602394,0.717391,0.92319,0.932605,0.0980392,0.795566,0.436747,0.528195,0.697248,0.738182,0.307794,0.190476,0.454545,0.00092
0.054762,0.383754,1.25939,1.2234,1.21913,1.02068,0.860412,1.04858,0.775475,0.282051,0.725382,0.47486,0.115385,0.28,0.386224,0.821862,0.765934,0.56396,1.53323,0.705714,0.643011,1.22343,0.665145,0.4,0.940606,1.26345,0.529493,0.359763,0.848624,0.41721,0.573295,0.435805,0.725,0.956731,1.02364,0.20696,0.543883,0.658695,0.62777,0.546448,0.0627451,0.849754,0.680723,0.699248,0.839449,0.734545,0.511229,0.142857,0.564435,0.0248391
0.00714281,0.120448,1.13993,1.03191,1.39652,0.790251,0.489702,0.862348,0.557859,0.451923,0.725381,0.790503,0.273077,0.428,0.273063,0.798583,0.825275,0.373749,1.38552,0.557143,0.362365,0.914169,0.789954,0.37234,0.715152,1.23701,0.832648,0.351479,0.582569,0.346806,0.426705,0.359855,0.65625,0.699519,1.21818,0.249084,0.755319,0.434783,0.401773,0.632058,0.172549,0.82266,0.518072,1.00752,0.876147,0.589091,0.363276,-0.0685714,0.340659,-0.0450782
-0.0309524,-0.142857,1.13993,0.758865,1.4,0.970458,0.524027,0.481781,0.326425,0.384615,0.83079,0.941341,0.361538,0.312,0.198032,0.725708,0.823077,0.304783,1.23634,0.493333,0.253763,0.701635,0.75038,0.310638,0.695758,0.970829,0.895748,0.418935,0.607033,0.508475,0.43106,0.307414,0.56875,0.6875,1.04,0.274725,0.820479,0.356522,0.413589,0.484517,0.205882,0.694581,0.539157,1.05451,0.733945,0.5,0.159842,-0.106667,0.138861,-0.0947562
0.0761905,-0.176471,0.863481,1.03901,0.881739,1.05022,0.526316,0.672065,0.198618,0.519231,0.803051,0.863128,0.546154,0.23,0.303813,0.677125,0.874725,0.429366,1.21123,0.278095,0.380645,0.809264,0.744292,0.194681,0.667879,0.743847,0.910837,0.416568,0.591743,0.601043,0.49492,0.296564,0.454166,0.545673,0.712727,0.3663,0.679521,0.176087,0.567208,0.491803,0.12549,0.406404,0.698795,0.885338,0.470184,0.474545,0.0805812,0.0590476,-0.114885,-0.166513
-0.0452382,-0.0700281,0.539249,1.0461,1.11826,0.807976,0.615561,0.603239,0.271157,0.503205,0.558946,0.709497,0.869231,0.314,0.353014,0.784413,0.816484,0.580645,0.880354,0.109524,0.417204,1.04087,0.589041,0.208511,0.647273,0.662717,0.909465,0.325444,0.701835,0.539765,0.371553,0.358047,0.408333,0.418269,0.603636,0.423077,0.378989,0.00869565,0.444609,0.497268,0.184314,0.312808,0.698795,0.93985,0.405963,0.598182,0.241744,0.0933333,-0.122877,0.0137994
-0.185714,0.0980392,0.443686,1.21277,0.867826,0.60709,0.878719,0.51417,0.164076,0.660256,0.447989,0.290503,1.25,0.48,0.505535,0.678138,0.615384,0.598443,0.655834,0.191429,0.580645,1.00136,0.535768,0.159575,0.763637,0.57794,0.90535,0.284024,0.707951,0.492829,0.367199,0.399638,0.295833,0.478365,0.616363,0.505494,0.107713,-0.167391,0.564254,0.349727,0.143137,0.440887,0.746988,0.746241,0.300459,0.605454,0.36856,0.0419047,-0.0749253,0.102116
-0.290476,0.0308124,0.313993,1.12057,0.728696,0.364845,0.993135,0.720648,0.322971,0.522436,0.631068,0.0642459,1.24231,0.376,0.431735,0.651822,0.5,0.469411,0.553914,0.361905,0.663441,1.09537,0.436834,0.111702,0.787879,0.586144,0.651578,0.188166,0.747706,0.277705,0.268505,0.271248,0.225,0.540865,0.607273,0.51282,-0.113032,-0.0978262,0.667651,0.331512,0.0921568,0.47537,0.725904,0.56203,0.275229,0.369091,0.656539,-0.0761905,0.082917,-0.00827972
-0.221429,0.0364146,0.262799,1.07092,0.773913,0.353028,0.993135,0.497976,0.243523,0.429487,0.775312,0.0251397,1.28077,0.414,0.341943,0.6417,0.632967,0.368187,0.672082,0.521905,0.551613,0.769755,0.461187,0.0606383,0.609697,0.707384,0.694102,0.16568,0.574923,0.32073,0.245283,0.291139,0.24375,0.466346,0.621818,0.205128,-0.110372,-0.306522,0.796159,0.566485,0.198039,0.366995,0.316265,0.287594,0.25,0.316363,0.50066,-0.0628572,-0.014985,-0.129715
-0.0619049,-0.128852,0.341297,0.691489,0.513044,0.592319,1,0.550607,0.250432,0.169872,0.814147,0.0977653,0.95,0.334,0.158672,0.455466,0.598901,0.380423,0.626292,0.468571,0.575269,0.604905,0.512937,0.0287236,0.569697,0.701914,0.500686,0.0627218,0.340979,0.409387,0.267054,0.13924,0.241667,0.564904,0.489091,0.205128,0.00398943,-0.154348,0.957164,0.961749,0.511765,0.258621,0.283133,0.268797,0.197248,0.28,0.167768,-0.0380954,-0.110889,-0.109476
-0.0357143,-0.02521,0.255973,0.524823,0.300869,0.781388,0.745995,0.311741,0.164076,0.102564,0.511789,-0.0307262,0.615384,0.32,0.195572,0.242915,0.469231,0.3604,0.638109,0.211429,0.63871,0.476839,0.369863,-0.0436169,0.484849,0.587967,0.489712,0.12071,0.201835,0.402868,0.409289,0.169982,0.272917,0.420673,0.289091,0.228938,0.268617,0.1,0.968981,1.0929,0.47647,0.211823,0.189759,0.180451,0.0183486,0.243636,0.022457,0.0323808,-0.212787,-0.162834
-0.00952378,0.0476193,0.0921502,0.5,0.408696,0.991137,0.480549,0.234818,0.319516,-0.0128205,0.167822,0.187151,0.542308,0.37,0.162362,0.163968,0.28022,0.323693,0.441654,0.0333334,0.626882,0.461853,0.231355,-0.061702,0.35394,0.520511,0.353909,0.0757396,0.14526,0.249022,0.253991,0.260398,0.185417,0.319712,0.163636,0.285714,0.414894,0.310869,0.685377,1.10382,0.488235,0.174877,0.14759,0.272556,0.105505,0.383636,0.0832233,0.0133334,-0.0189812,-0.0450782
-0.0261906,0.162465,0.0375428,0.570922,0.248696,0.884785,0.407323,0.153846,0.367876,0.0544871,0.131761,0.226257,0.45,0.282,0.280443,0.0536437,0.18022,0.304783,0.206795,0.113333,0.448387,0.279291,0.200913,-0.11383,0.344243,0.585232,0.271605,0.134911,0.0764525,0.135593,0.156749,0.280289,-0.00208343,0.242789,0.303636,0.24359,0.386968,0.315217,0.429838,0.810565,0.0411764,0.43596,0.0632531,0.306391,0.204128,0.403636,0.0700131,-0.169524,-0.0269732,0.0910764
-0.171429,0.0308124,0.12628,0.521277,0.467826,0.601181,0.286041,0.336032,0.502591,0.0576923,0.228849,0.240224,0.342308,-0.034,0.241082,-0.0597167,0.172528,0.243604,0.208272,0.171429,0.309677,0.377384,0.17656,-0.119149,0.0206062,0.574294,0.0192044,0.119527,0.154434,-0.0443286,-0.103048,0.0976492,-0.10625,0.329327,0.383636,0.435897,0.397606,0.195652,0.028065,0.706739,-0.129412,0.337438,-0.171687,0.266917,0.18578,0.158182,0.191545,-0.156191,0.00899082,0.0818768
