PD2[][0],PD2[][1],PD2[][2],PD2[][3],PD2[][4],PD2[][5],PD2[][6],PD2[][7],PD2[][8],PD2[][9],PD2[][10],PD2[][11],PD2[][12],PD2[][13],PD2[][14],PD2[][15],PD2[][16],PD2[][17],PD2[][18],PD2[][19],PD2[][20],PD2[][21],PD2[][22],PD2[][23],PD2[][24],PD2[][25],PD2[][26],PD2[][27],PD2[][28],PD2[][29],PD2[][30],PD2[][31],PD2[][32],PD2[][33],PD2[][34],PD2[][35],PD2[][36],PD2[][37],PD2[][38],PD2[][39],PD2[][40],PD2[][41],PD2[][42],PD2[][43],PD2[][44],PD2[][45],PD2[][46],PD2[][47],PD2[][48],PD2[][49]
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.254438,-0.00658771,0.0580645,-0.0704698,-0.115073,0.30117,0.10299,-0.416058,-0.250409,-0.0178571,0.0641026,-0.110236,0.00938085,-0.17623,-0.128989,-0.186975,0.0140845,0.241993,-0.0859156,0.0414509,0.0263789,-0.0948396,0.164134,-0.217494,-0.044959,0.0459882,0.121849,0.115337,-0.0087109,-0.0820144,-0.225904,-0.260656,0.142857,0.196035,0.0724907,0.131261,0.0861183,-0.198582,-0.0793651,-0.00791131,-0.13594,-0.215385,-0.465257,-0.167979,-0.124711,-0.314019,0.0615762,-0.0954446,0.12933,-0.158436
0.12426,-0.104084,-0.0322581,-0.0436241,-0.183144,0.0994152,0.00996686,-0.120438,-0.322422,-0.0535714,0.0615386,-0.0761156,0.054409,-0.0245903,-0.0678191,-0.186975,0.0352112,0.179122,-0.074648,-0.00621767,0.0563549,-0.0892608,0.115502,-0.072104,0.0340599,-0.0234834,0.0308123,0.0319019,-0.0574912,-0.0633093,-0.0798194,-0.272131,0.0987395,0.0859032,0.0148699,0.00690846,0.00128541,-0.147163,-0.010582,0.11076,-0.0465549,-0.178461,-0.259819,-0.173228,0.106236,-0.211215,-0.0443351,0.0390457,0.163972,-0.141975
-0.249704,-0.11199,-0.0903227,-0.0973154,-0.231767,0.137427,-0.0653378,0.105839,-0.531915,-0.0178571,-0.0692306,-0.104987,0.204503,0.114754,-0.049202,-0.0934874,0.0551642,0.0474497,-0.0929578,-0.0621761,0.195444,0.0739192,0.0273556,-0.0449173,0.0149864,-0.0117418,-0.0742298,-0.00858889,0.0261323,-0.0345323,-0.120482,-0.286885,0.121849,0.0308371,0.0892192,-0.153713,0.0321336,-0.0425532,0.112434,-0.074367,0.111732,0.0184615,-0.0483384,-0.0997376,0.311778,-0.071028,-0.241379,-0.0303686,0.0438799,-0.0905349
-0.505325,-0.0909091,0.0419354,0.127517,-0.102107,0.438597,0.109635,0.412409,-0.338789,0.157143,-0.235897,-0.115486,0.339587,0.0368852,-0.0598404,-0.0462185,0.123239,-0.0379597,-0.171831,-0.0829014,0.238609,0.0446305,0.0395136,-0.0401892,0.118529,0.154599,-0.127451,-0.0576686,0.148084,-0.0273379,-0.159639,-0.393443,0.147059,-0.125551,0.0762082,-0.100173,-0.0822622,-0.0478723,0.194444,-0.150316,0.137803,0.0923079,0.338369,0.154856,0.727483,-0.013084,-0.3867,0.10846,0.0346421,-0.0679013
-0.450888,-0.140975,0.23871,0.466443,-0.0826579,0.561404,0.202658,0.441606,0.0409164,0.382143,-0.292308,0.0971128,0.362101,0.012295,-0.0518616,0.00735304,0.196009,0.014235,-0.198592,0.0569949,0.23741,-0.0251047,0.0896657,-0.0472814,0.0790191,0.347358,-0.127451,-0.0368097,0.205575,-0.00287764,-0.0632529,-0.181967,0.15126,0.0704846,0.111524,-0.0587219,-0.0719794,0.212766,0.42328,0.0142406,0.353817,0.0984616,0.613293,0.346457,0.95843,0.229907,-0.253695,0.295011,-0.0369515,0.0884774
-0.183432,-0.235837,0.351613,0.778524,0.0858995,0.909357,0.490587,0.39416,0.577741,0.367857,-0.310256,0.0183727,0.414634,-0.0758197,-0.023936,0.119748,0.231221,0.338078,-0.0830987,0.129534,0.3753,0.126918,0.142857,-0.00827433,0.0626704,0.558708,-0.0980394,-0.115337,0.418118,0.0244606,0.174699,0.00327869,0.407563,0.156388,0.104089,0.00863558,0.172237,0.363475,0.5291,0.21519,0.556797,0.153846,0.903323,0.80315,0.91455,0.457944,-0.14532,0.292842,0.133949,0.203704
0.119527,-0.299078,0.816129,1.02685,0.0145867,0.979532,0.718715,0.470803,1.06219,0.435714,-0.0410255,-0.0341208,0.283302,-0.122951,0.207447,0.234244,0.235915,0.590747,0.16338,0.367876,0.479616,0.483961,0.300912,0.199764,-0.0899182,0.710372,0.233893,-0.00981577,0.747387,0.251799,0.447289,0.342623,0.542017,0.482379,0.310409,0.316062,0.307198,0.473404,0.853175,0.299051,0.674115,0.606154,0.797583,1.00262,0.87067,0.571963,0.0467979,0.16269,-0.0277136,0.279835
0.150296,-0.393939,0.870968,0.959732,0.10859,0.926901,0.893688,0.627737,1.07201,0.310714,0.238462,-0.11811,0.196998,0.114754,0.507979,0.320378,0.213615,0.762752,0.530986,0.520207,0.660672,0.987448,0.427052,0.513002,0.133515,0.865949,0.471989,0.0969327,0.902439,0.505036,0.661145,0.506557,0.899159,0.636564,0.423792,0.452504,0.449872,0.437943,1.12434,0.414557,0.687151,0.910769,0.81571,0.971128,0.678984,0.714019,0.118226,0.0759221,0.0508083,0.290124
0.143195,-0.346509,1.00323,0.802014,0.299838,0.912281,0.873754,0.562044,0.702128,0.203571,0.35641,-0.167979,0.34334,0.241803,0.769947,0.473739,0.367371,0.818505,0.898591,0.607254,0.778178,1.07671,0.594225,0.516548,0.527248,1.07339,0.710084,0.402454,1.02613,0.772662,0.692771,0.590164,0.943277,0.779736,0.381041,0.723662,0.758355,0.409574,1.21429,0.308544,0.540037,1.14462,1.0423,0.863517,0.47806,0.719626,-0.0320198,-0.16269,0.0692841,0.277778
0.0343195,-0.11726,0.806452,1.02685,0.76013,1.12573,0.844962,0.635036,0.535188,0.292857,0.523077,-0.0577428,0.50469,0.192623,0.793883,0.623949,0.376761,0.49229,0.953521,0.595855,0.792566,0.909345,0.843465,0.619385,0.90872,1.34736,0.722689,0.76319,1.10453,0.896403,0.631024,0.37541,0.983193,0.885463,0.386617,0.873921,0.74036,0.315603,1.10714,0.35443,0.195531,0.898462,1.31118,0.887139,0.771363,0.809346,-0.211823,-0.110629,0.154734,0.0987655
-0.145562,0.0223978,0.612903,1.03691,1.06807,1.0117,0.539314,0.631387,0.214403,0.289286,0.433333,0.307087,0.339587,0.383197,0.724734,0.665966,0.424883,0.368921,0.919718,0.588601,0.563549,0.688982,0.901216,0.647754,1.13896,1.28278,0.791317,0.863804,0.940767,0.966907,0.468373,0.259017,0.617647,0.903084,0.414498,0.763385,0.575835,0.210993,1.03175,0.306962,0.0111732,0.670769,1.17825,0.769029,0.82448,0.794393,-0.20936,0.266811,0.0808315,0.0185185
